АРЗ;аварийно-ремонтный (е) затвор(ы)
АРМ;автоматизированное рабочее место
АРМ ДП;автоматизированное рабочее место дежурного персонала станции
АРЧМ;автоматический регулятор частоты вращения и мощности турбины
АС;автоматизированная система
АСУ;автоматизированная система управления
АСУ ТП;автоматизированная система управления технологическим процессом
АИИСКУЭ;автоматизированная система контроля и учета электроэнергии
АСПТ;Автоматизированная система пожаротушения
АПС;Автоматическая пожарная сигнализация
ВК;вибрационный контроль
ВО;вспомогательное оборудование
ЗИП;запасные части инструменты и приборы
ДГУ;дизель-генераторная установка
КРУ;комплектное распределительное устройство
КТС;комплекс(ы) технических средств
ЛВС;локальная вычислительная сеть
МИП;многофункциональные цифровые измерительные преобразователи и приборы
МО;математическое обеспечение
МП;РЗиА	микропроцессорная релейная защита и автоматика
МСЭ;межсетевые экраны
МТЗ;максимальная токовая защита
ОК;оптический кабель
ОП;операторская панель
ОПО;общее программное обеспечение
ОРЭМ;оптовый рынок электрической энергии и мощности
ПА;противоаварийная автоматика
ПЛК;программируемый логический контроллер
ПТК;программно-технический комплекс
ПО;программное обеспечение
ПОБИ;программа обеспечения безопасности информации
РС;рабочая станция
РЩУ;резервный щит управления
САБД;сервер архивирования и баз данных
САУ;система автоматизированного управления
СБ;сервер блока
СВД;система вибрационной диагностики гидроагрегата
СЗВ;сегментный затвор водосброса
СК;синхронный компенсатор
СКС;структурированная кабельная сеть
СОЕВ;система обеспечения единого времени
СОН;сеть (ЛВС) общего назначения
СОПТ;система оперативного постоянного тока
СОУЭ;система оповещения и управления эвакуацией людей при пожаре
СПО;специальное программное обеспечение
СУВ;система управления возбуждения генератора
СБП;система бесперебойного питания и распределения оперативного тока
ТА;технологическая автоматика
ТК;тепловой контроль
ТМ;телемеханика
УСО;устройство связи с объектом
УСПД;устройство сбора и передачи данных
ЦПУ;центральный пульт управления
ЦСЭ;цифровой счетчик электроэнергии
ЧМИ;человеко-машинный интерфейс
ШСО;шкаф сетевого оборудования
ЩПТ;щит постоянного тока
ЩСН;щит собственных нужд
ЭГР;электрогидравлический регулятор
ЭС;энергосистема
ЭМС;электромагнитная совместимость
